"comparison_universe","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"All DTU genes","GO:0002377","immunoglobulin production","8/431","19/2524",0.421052631578947,2.46574673342288,2.90967522733524,0.00889806567917769,0.566169881147751,0.549739192361954,"Ung/Foxp1/Cd37/Fcgr2b/Pou2f2/Traf6/Rbp4/Crlf2",8
"All DTU genes","GO:0042176","regulation of protein catabolic process","20/431","69/2524",0.289855072463768,1.69743434547228,2.6651077605043,0.00891356918025677,0.566169881147751,0.549739192361954,"Apoe/Flna/Psme2/Taf9/Btrc/Trem2/Wnt5a/Cav1/Timp1/Ctsa/Ins2/Ppp2r3a/Snca/Trim32/Trim39/Tmem9/Svip/Azin1/Furin/Fmr1",20
"All DTU genes","GO:2000146","negative regulation of cell motility","20/431","69/2524",0.289855072463768,1.69743434547228,2.6651077605043,0.00891356918025677,0.566169881147751,0.549739192361954,"Apoe/Dach1/Dag1/Egfl7/Eng/Krit1/Cav1/Nrg3/Ppargc1a/Timp1/Tmem196/Adgrg1/Ccl25/Cd74/Ilk/Ndrg4/Nkx2-1/Osbpl8/Sulf1/Nedd9",20
"All DTU genes","GO:0002702","positive regulation of production of molecular mediator of immune response","9/431","23/2524",0.391304347826087,2.29153636638757,2.82310062146587,0.00976688645279132,0.566169881147751,0.549739192361954,"Kit/Foxp1/Tek/Wnt5a/Cd37/Cd74/Traf6/Rbp4/Sirt1",9
"All DTU genes","GO:0042177","negative regulation of protein catabolic process","10/431","27/2524",0.37037037037037,2.16894388588124,2.77063247798197,0.0101657131459689,0.566169881147751,0.549739192361954,"Flna/Taf9/Timp1/Ctsa/Ins2/Snca/Trim39/Svip/Azin1/Furin",10
"All DTU genes","GO:0060291","long-term synaptic potentiation","10/431","27/2524",0.37037037037037,2.16894388588124,2.77063247798197,0.0101657131459689,0.566169881147751,0.549739192361954,"Apoe/Fxr1/Hnrnpk/Nlgn1/Pde9a/Adcy8/Snca/Shisa7/Creb1/Fmr1",10
"All DTU genes","GO:0052547","regulation of peptidase activity","16/431","52/2524",0.307692307692308,1.80189184365518,2.65097651847202,0.0101820677976968,0.566169881147751,0.549739192361954,"Dnajb6/Psme2/Spink2/Spock1/Cav1/Rps6ka1/Timp1/Acer2/Fis1/Lck/Snca/Tfpi/Rffl/Sirt1/Bad/Furin",16
"All DTU genes","GO:0071900","regulation of protein serine/threonine kinase activity","18/431","61/2524",0.295081967213115,1.72804381727587,2.61157724474388,0.010545773088386,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Ntf3/Pkig/Cib1/Kit/Wnt5a/Cav1/Cbs/Spry1/Cdkn1a/Map4k2/Snca/Traf6/Sirt1/Cdk12/Hipk3/Fgd4",18
"All DTU genes","GO:0006094","gluconeogenesis","7/431","16/2524",0.4375,2.56206496519722,2.84385836675218,0.0112522833440175,0.566169881147751,0.549739192361954,"Zfp692/Ppargc1a/Arpp19/Stk11/Rbp4/Sirt1/Gck",7
"All DTU genes","GO:0019319","hexose biosynthetic process","7/431","16/2524",0.4375,2.56206496519722,2.84385836675218,0.0112522833440175,0.566169881147751,0.549739192361954,"Zfp692/Ppargc1a/Arpp19/Stk11/Rbp4/Sirt1/Gck",7
"All DTU genes","GO:0019915","lipid storage","7/431","16/2524",0.4375,2.56206496519722,2.84385836675218,0.0112522833440175,0.566169881147751,0.549739192361954,"Apoe/Trem2/Vstm2a/Cav1/Osbpl8/Nr1h3/Sirt1",7
"All DTU genes","GO:0046364","monosaccharide biosynthetic process","7/431","16/2524",0.4375,2.56206496519722,2.84385836675218,0.0112522833440175,0.566169881147751,0.549739192361954,"Zfp692/Ppargc1a/Arpp19/Stk11/Rbp4/Sirt1/Gck",7
"All DTU genes","GO:0072521","purine-containing compound metabolic process","24/431","89/2524",0.269662921348315,1.57918611016971,2.52392418350889,0.0114959266748884,0.566169881147751,0.549739192361954,"Rab23/Pemt/Trem2/Txnrd1/Nnt/Pde9a/Adcy8/Impdh1/Ppargc1a/Acot7/Acsl1/Adal/Ak2/Far1/Fis1/Hsd11b1/Ins2/Nadsyn1/Pde1a/Snca/Cacnb4/Gcdh/Bad/Gck",24
"All DTU genes","GO:0050867","positive regulation of cell activation","19/431","66/2524",0.287878787878788,1.68586092948042,2.56170867133607,0.0115335066433639,0.566169881147751,0.549739192361954,"Cbfb/Flna/Trem2/Wnt5a/Cav1/Rps6ka1/Brd4/Cd74/Cdkn1a/Flot2/Lck/Nfatc2/Sh3kbp1/Smarcd2/Ambra1/Traf6/Bad/Crlf2/Jak3",19
"All DTU genes","GO:0009117","nucleotide metabolic process","25/431","94/2524",0.265957446808511,1.55748630103174,2.49923811899817,0.0119941542070193,0.566169881147751,0.549739192361954,"Rab23/Tyms/Trem2/Txnrd1/Nnt/Pde9a/Dut/Adcy8/Impdh1/Ppargc1a/Acot7/Acsl1/Adal/Ak2/Far1/Fis1/Hsd11b1/Ins2/Nadsyn1/Pde1a/Snca/Cacnb4/Gcdh/Bad/Gck",25
"All DTU genes","GO:1905954","positive regulation of lipid localization","8/431","20/2524",0.4,2.34245939675174,2.73471228050132,0.0126674193828704,0.566169881147751,0.549739192361954,"Apoe/Trem2/Vstm2a/Abca3/Cav1/Acsl1/Nr1h3/Sirt1",8
"All DTU genes","GO:0009165","nucleotide biosynthetic process","12/431","36/2524",0.333333333333333,1.95204949729312,2.61034696129231,0.0128287484554153,0.566169881147751,0.549739192361954,"Tyms/Trem2/Dut/Adcy8/Impdh1/Ppargc1a/Acot7/Acsl1/Ak2/Nadsyn1/Snca/Gcdh",12
"All DTU genes","GO:0010811","positive regulation of cell-substrate adhesion","12/431","36/2524",0.333333333333333,1.95204949729312,2.61034696129231,0.0128287484554153,0.566169881147751,0.549739192361954,"Dag1/Flna/Cib1/Tek/Ccl25/Dnm2/Hacd1/Ilk/Fbln2/Smoc1/Vit/Nedd9",12
"All DTU genes","GO:0042127","regulation of cell population proliferation","63/431","286/2524",0.22027972027972,1.28999075170769,2.36292408687966,0.0129401440052386,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Dach1/Dlx5/Egfl7/Eng/Flna/Kdm2b/Meis1/Ntf3/Cib1/Dnmt1/Fgfrl1/Kit/Krit1/Pemt/Slc4a2/Trem2/Foxp1/Nfib/Pde9a/Tek/Vstm2a/Wnt5a/Cav1/Ppargc1a/Spry1/Timp1/Tmem196/Acer2/Adgrg1/Cd37/Cd74/Cdkn1a/Fcgr2b/Fgfr2/Ilk/Ins2/Kif3a/Ndrg4/Nfatc2/Npm1/Parp10/Pde1a/Prc1/Trim32/Cacnb4/Sulf1/Ambra1/Traf6/Stk11/Azin1/Brd9/Mecom/Rbp4/Hipk1/Ift122/Sirt1/Bad/Crlf2/Creb1/Txnip/Jak3",63
"All DTU genes","GO:0050673","epithelial cell proliferation","24/431","90/2524",0.266666666666667,1.56163959783449,2.46167850591836,0.0132490629297593,0.566169881147751,0.549739192361954,"Apoe/Dach1/Dlx5/Egfl7/Eng/Btrc/Kit/Krit1/Foxp1/Nfib/Tek/Wnt5a/Cav1/Rps6ka1/Cdkn1a/Fgfr2/Kif3a/Npm1/Sulf1/Stk11/Azin1/Ift122/Sirt1/Bad",24
"All DTU genes","GO:0051347","positive regulation of transferase activity","24/431","90/2524",0.266666666666667,1.56163959783449,2.46167850591836,0.0132490629297593,0.566169881147751,0.549739192361954,"Apoe/Hnrnpd/Ntf3/Btrc/Cib1/Kit/Trem2/Tek/Wnt5a/Cd74/Cdkn1a/Fgfr2/Ins2/Map4k2/Npm1/Snca/Vldlr/Traf6/Stk11/Sirt1/Bad/Adra1a/Nedd9/Fgd4",24
"All DTU genes","GO:0002700","regulation of production of molecular mediator of immune response","11/431","32/2524",0.34375,2.01305104408353,2.6166458367553,0.0132612456922362,0.566169881147751,0.549739192361954,"Kit/Foxp1/Tek/Wnt5a/Cd37/Cd74/Fcgr2b/Traf6/Rbp4/Sirt1/Jak3",11
