"gene_id","gene_name","isoform_id","region","stage","stage_index","target_mean_if","other_mean_if","target_difference","target_vs_other_1","target_vs_other_2","other_region_difference","max_pair_q","max_pair_q_by","state","gene_simes_p","gene_q","gene_bonferroni_p","gene_q_by"
"Ntrk3","Ntrk3","NM_182809","Midbrain","11.5",2,0.50645,0.32055,0.1859,0.1859,0.1859,0,0.00324067201998305,0.0427448338953876,1,4.3038128239977e-06,4.58105844079941e-05,1.61066307624444e-05,0.00148863654351512
"Ppp2r5c","Ppp2r5c","NM_001081458","Midbrain","15.5",6,0.4985,0.66165,-0.16315,-0.16315,-0.16315,0,0.00324268317326463,0.0427713612367629,-1,9.6335185415534e-06,9.50271861307972e-05,1.92670370831067e-05,0.00175321655610879
"Opa1","Opa1","NM_133752","Midbrain","15.5",6,0.7981,0.95795,-0.15985,-0.15985,-0.15985,2.22044604925031e-16,0.00324582042733479,0.042812741976094,-1,0.000417298750413256,0.00263616069733942,0.00161759429781213,0.0875051206404538
"Ldb3","Ldb3","NM_001039076","Midbrain","15.5",6,0.82305,0,0.82305,0.82305,0.82305,0,0.00326195464286445,0.0430255541207958,1,0.00284759753795477,0.0138506417972572,0.00569519507590952,0.260268074314094
"Lck","Lck","NM_010693","Midbrain","15.5",6,0.68355,0,0.68355,0.68355,0.68355,0,0.00329752811898307,0.0434947723318322,1,0.000186551842181982,0.00129175156076692,0.000373103684363965,0.0239321039259954
"Bdnf","Bdnf","NM_007540","Midbrain","15.5",6,0,0.1403,-0.1403,-0.1403,-0.1403,0,0.00333956415663696,0.0440492324672781,-1,4.54871993351914e-08,6.96304051361776e-07,9.09743986703828e-08,1.2669116054567e-05
"Opa1","Opa1","NM_001199177","Midbrain","15.5",6,0.2019,0.04205,0.15985,0.15985,0.15985,0,0.00333972407859509,0.0440513418561624,1,0.000417298750413256,0.00263616069733942,0.00161759429781213,0.0875051206404538
"Ntrk3","Ntrk3","NM_008746","Midbrain","11.5",2,0.49355,0.67945,-0.1859,-0.1859,-0.1859,1.11022302462516e-16,0.00339424311238821,0.0447704541357309,-1,4.3038128239977e-06,4.58105844079941e-05,1.61066307624444e-05,0.00148863654351512
"Stxbp5l","Stxbp5l","NM_172440","Midbrain","12.5",3,0.65115,0,0.65115,0.65115,0.65115,0,0.00342780526902211,0.0452131428131536,1,0.00171869504421049,0.00899024824840164,0.00343739008842099,0.168599657564446
"Nadsyn1","Nadsyn1","NM_001308095","Midbrain","15.5",6,0.206,0.6209,-0.4149,-0.4149,-0.4149,0,0.00343341239134223,0.0452871013966594,-1,0.00043190855450402,0.00272292762254118,0.00172268549593725,0.0929461639842539
"Pik3cd","Pik3cd","NM_001164051","Midbrain","15.5",6,0.25795,0.5796,-0.32165,-0.32165,-0.32165,0,0.00343341239134223,0.0452871013966594,-1,0.00172370084422742,0.00900614014158549,0.00344740168845483,0.168771313504935
"Nadsyn1","Nadsyn1","NM_030221","Midbrain","15.5",6,0.794,0.3791,0.4149,0.4149,0.4149,-5.55111512312578e-17,0.00343905812768882,0.0453615693035823,1,0.00043190855450402,0.00272292762254118,0.00172268549593725,0.0929461639842539
"Kcns2","Kcns2","NM_181317","Midbrain","11.5",2,1,0,1,1,1,0,0.0034694656447135,0.045762647924429,1,0.00021875803882292,0.00148774969345097,0.00174932728708743,0.0941065534113997
"Kcns2","Kcns2","NM_181317","Midbrain","10.5",1,1,0,1,1,1,0,0.0034694656447135,0.045762647924429,1,0.00021875803882292,0.00148774969345097,0.00174932728708743,0.0941065534113997
"Kcns2","Kcns2","NM_001271704","Midbrain","11.5",2,0,1,-1,-1,-1,0,0.0034694656447135,0.045762647924429,-1,0.00021875803882292,0.00148774969345097,0.00174932728708743,0.0941065534113997
"Kcns2","Kcns2","NM_001271704","Midbrain","10.5",1,0,1,-1,-1,-1,0,0.0034694656447135,0.045762647924429,-1,0.00021875803882292,0.00148774969345097,0.00174932728708743,0.0941065534113997
"Lef1","Lef1","NM_001276402","Midbrain","15.5",6,0.20985,0.6421,-0.43225,-0.43225,-0.43225,0,0.0034694656447135,0.045762647924429,-1,0.000774131420161618,0.00451362994914615,0.00262766911495438,0.135655508274404
"Zfp655","Zfp655","NM_001083958","Midbrain","15.5",6,0.58345,0.41205,0.1714,0.1714,0.1714,0,0.0034694656447135,0.045762647924429,1,0.000442160793076433,0.00277655175519977,0.00174661026923711,0.0941065534113997
"Abl2","Abl2","NM_001136104","Midbrain","11.5",2,0.99165,0.825,0.16665,0.16665,0.16665,-1.11022302462516e-16,0.0034694656447135,0.045762647924429,1,0.000442234264701908,0.00277655175519977,0.00175104134252166,0.0941065534113997
"Fgf13","Fgf13","NM_001290414","Midbrain","11.5",2,0.0974,0.2099,-0.1125,-0.1125,-0.1125,-5.55111512312578e-17,0.0034694656447135,0.045762647924429,-1,1.7128329580172e-17,3.91981822442236e-15,3.42152016640236e-17,7.40885727529421e-14
"Ntng1","Ntng1","NM_001163351","Midbrain","15.5",6,0,0.61725,-0.61725,-0.61725,-0.61725,0,0.00347567613785629,0.045844565037966,-1,0.00109751617279516,0.0061409920817646,0.00306360524637652,0.154006050720958
"Zfp655","Zfp655","NM_028298","Midbrain","15.5",6,0.41655,0.58795,-0.1714,-0.1714,-0.1714,0,0.00349570337308101,0.0461087265568688,-1,0.000442160793076433,0.00277655175519977,0.00174661026923711,0.0941065534113997
"Abl2","Abl2","NM_009595","Midbrain","11.5",2,0.00835,0.175,-0.16665,-0.16665,-0.16665,-2.77555756156289e-17,0.00349570337308101,0.0461087265568688,-1,0.000442234264701908,0.00277655175519977,0.00175104134252166,0.0941065534113997
"Kcnn4","Kcnn4","NM_001163510","Midbrain","13.5",4,0,0.8508,-0.8508,-0.8508,-0.8508,0,0.00352858190121991,0.0465423980964001,-1,0.00044696072119787,0.00279854886583126,0.00178670225213164,0.0957733496307587
"Kcnn4","Kcnn4","NM_008433","Midbrain","13.5",4,1,0.1492,0.8508,0.8508,0.8508,0,0.00352860759838142,0.0465427370448939,1,0.00044696072119787,0.00279854886583126,0.00178670225213164,0.0957733496307587
"Dcun1d2","Dcun1d2","NM_001024504","Midbrain","15.5",6,0.6395,0.35705,0.28245,0.28245,0.28245,0,0.0036285686837053,0.0478612351717714,1,0.00184138917303635,0.00955559891721927,0.00368277834607271,0.178820552339516
"Trip4","Trip4","NM_001170907","Midbrain","15.5",6,0.6273,0.42095,0.20635,0.20635,0.20635,5.55111512312578e-17,0.0037332728498301,0.0492422950758784,1,0.000479321826572066,0.00298483809553789,0.001897505941569,0.101055746761877
"Usp2","Usp2","NM_198091","Midbrain","15.5",6,0.57805,0.20755,0.3705,0.3705,0.3705,0,0.00375155033988926,0.0494833772562983,1,0.00143099601324609,0.00773278483190949,0.00286199202649217,0.146370046090892
"Trip4","Trip4","NM_019797","Midbrain","15.5",6,0.3727,0.57905,-0.20635,-0.20635,-0.20635,-1.11022302462516e-16,0.00376509024361629,0.0496619701321594,-1,0.000479321826572066,0.00298483809553789,0.001897505941569,0.101055746761877
"Snap91","Snap91","NM_001277986","Midbrain","15.5",6,0,0.150725,-0.150725,-0.15075,-0.1507,4.99999999999945e-05,0.00376740165642842,0.0496924579310199,-1,3.65732833099083e-10,8.81031145839211e-09,7.31465666198165e-10,1.59533162171109e-07
"Myo18a","Myo18a","NM_011586","Midbrain","11.5",2,0.8015,0.49835,0.30315,0.30315,0.30315,0,0.00376811019505985,0.0497018036364545,1,7.08289101494037e-07,8.73811109848573e-06,1.41657820298807e-06,0.000159543201081145
"Sept9","Sept9","NM_017380","Midbrain","10.5",1,0.12645,0.2391,-0.11265,-0.1127,-0.1126,9.9999999999989e-05,0.00377565300634189,0.0498012941783442,-1,0.000543791531932143,0.00331857845553789,0.00108758306386429,0.0620907952270361
"Slc25a25","Slc25a25","NM_146118","Midbrain","15.5",6,0,0.293675,-0.293675,-0.2938,-0.29355,0.000250000000000028,0.00379959245412161,0.0501170582274618,-1,5.40106166343755e-14,3.48178299064136e-12,1.07171846403247e-13,6.31104831365314e-11
