"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_030221","Nadsyn1","Nadsyn1","Midbrain","15.5","15.5",1,"higher",0.4149,0.4149,0.00343905812768882,0.09005,0.00272292762254118,0.3583,TRUE,TRUE
"NM_001136104","Abl2","Abl2","Midbrain","11.5","11.5",1,"higher",0.16665,0.16665,0.0034694656447135,0.0951500000000001,0.00277655175519977,0.1522,TRUE,TRUE
"NM_009595","Abl2","Abl2","Midbrain","11.5","11.5",1,"lower",0.16665,0.16665,0.00349570337308101,0.09515,0.00277655175519977,0.1522,TRUE,TRUE
"NM_001024504","Dcun1d2","Dcun1d2","Midbrain","15.5","15.5",1,"higher",0.28245,0.28245,0.0036285686837053,0.09245,0.00955559891721927,0.2214,TRUE,FALSE
"NM_001170907","Trip4","Trip4","Midbrain","15.5","15.5",1,"higher",0.20635,0.20635,0.0037332728498301,0.0342000000000001,0.00298483809553789,0.185,TRUE,TRUE
"NM_198091","Usp2","Usp2","Midbrain","15.5","15.5",1,"higher",0.3705,0.3705,0.00375155033988926,0.09905,0.00773278483190949,0.3228,TRUE,FALSE
"NM_019797","Trip4","Trip4","Midbrain","15.5","15.5",1,"lower",0.20635,0.20635,0.00376509024361629,0.0342,0.00298483809553789,0.185,TRUE,TRUE
"NM_001277986","Snap91","Snap91","Midbrain","15.5","15.5",1,"lower",0.150725,0.150725,0.00376740165642842,0.0488,8.81031145839211e-09,0.1158,TRUE,TRUE
"NM_011586","Myo18a","Myo18a","Midbrain","11.5","11.5",1,"higher",0.30315,0.30315,0.00376811019505985,0.0308500000000002,8.73811109848573e-06,0.2904,TRUE,FALSE
"NM_146118","Slc25a25","Slc25a25","Midbrain","15.5","15.5",1,"lower",0.293675,0.293675,0.00379959245412161,0.0603,3.48178299064136e-12,0.2277,TRUE,TRUE
"NM_018875","Snx12","Snx12","Midbrain","15.5","15.5",1,"higher",0.17475,0.17475,0.00380689028162721,0.0473,0.0078326632503104,0.1488,TRUE,TRUE
"NM_001291202","Tpd52l2","Tpd52l2","Midbrain","15.5","15.5",1,"lower",0.169675,0.169675,0.00388821100266942,0.0506,0.0146227610080511,0.1203,TRUE,TRUE
"NM_001163643","Map3k12","Map3k12","Midbrain","11.5","11.5",1,"higher",0.16675,0.16675,0.00388948220858251,0.05845,0.0031409464322112,0.1647,TRUE,TRUE
"NM_001160214","Smek1","Smek1","Midbrain","15.5","15.5",1,"higher",0.18395,0.18395,0.00390127087495744,0.0267,0.0031409464322112,0.106,TRUE,TRUE
"NM_009582","Map3k12","Map3k12","Midbrain","11.5","11.5",1,"lower",0.16675,0.16675,0.00395997818787941,0.05845,0.0031409464322112,0.1647,TRUE,TRUE
"NM_001130450","Nfe2l1","Nfe2l1","Midbrain","15.5","15.5",1,"higher",0.312225,0.312225,0.00396679050039037,0.0251,0.0147483988379121,0.2786,TRUE,FALSE
"NM_211355","Smek1","Smek1","Midbrain","15.5","15.5",1,"lower",0.18395,0.18395,0.00396679050039037,0.0266999999999999,0.0031409464322112,0.106,TRUE,TRUE
"NM_001146293","Celf4","Celf4","Midbrain","15.5","15.5",1,"lower",0.1661,0.1661,0.00402246756889667,0.00744999999999998,0.012818457255551,0.1591,TRUE,FALSE
"NM_001109684","Kazn","Kazn","Midbrain","15.5","15.5",1,"lower",0.48175,0.48175,0.00405353770407728,0.0816999999999999,3.39446231826276e-06,0.4517,TRUE,TRUE
"NM_153158","E130308A19Rik","E130308A19Rik","Midbrain","15.5","15.5",1,"lower",0.11885,0.11885,0.00407181498775836,0.015,0.00331857845553789,0.0746,TRUE,TRUE
"NM_015756","Shroom3","Shroom3","Midbrain","15.5","15.5",1,"lower",0.6233,0.6233,0.00408024455417965,0.0877499999999999,0.0083898716817339,0.5767,TRUE,FALSE
"NM_001164185","Lsr","Lsr","Midbrain","15.5","15.5",1,"higher",0.2618,0.2618,0.00409015901278229,0.00565,0.0084238771510219,0.163,TRUE,FALSE
"NM_001142642","Fbrsl1","Fbrsl1","Midbrain","15.5","15.5",1,"higher",0.28375,0.28375,0.00414807181811456,0.07165,0.00339199580937703,0.239,TRUE,TRUE
"NM_001015681","E130308A19Rik","E130308A19Rik","Midbrain","15.5","15.5",1,"higher",0.11885,0.11885,0.00416908932659791,0.0149999999999999,0.00331857845553789,0.0746,TRUE,TRUE
"NM_028596","Fbrsl1","Fbrsl1","Midbrain","15.5","15.5",1,"lower",0.28375,0.28375,0.004263492361838,0.07165,0.00339199580937703,0.239,TRUE,TRUE
"NM_001276486","Dag1","Dag1","Midbrain","15.5","15.5",1,"higher",0.21055,0.21055,0.004263492361838,0.0300500000000001,0.0202685497625446,0.1826,TRUE,FALSE
"NM_001195003","Kat7","Kat7","Midbrain","15.5","15.5",1,"higher",0.182025,0.182025,0.00427857935979882,0.03305,0.00709280581918552,0.1324,TRUE,TRUE
"NM_177370","Rhbdd3","Rhbdd3","Midbrain","15.5","15.5",1,"higher",0.288375,0.288375,0.00428246057958055,0.0197500000000001,6.02075289504872e-08,0.1876,TRUE,FALSE
"NM_001252189","Epn2","Epn2","Midbrain","15.5","15.5",1,"higher",0.311,0.311,0.00429004750282548,0.0399,0.00883814644270696,0.2572,TRUE,TRUE
"NM_001256382","Rims2","Rims2","Midbrain","15.5","15.5",1,"lower",0.464625,0.464625,0.00434478712436665,0.0352,0.011466765068422,0.443,TRUE,FALSE
"NM_146178","Ccdc106","Ccdc106","Midbrain","15.5","15.5",1,"lower",0.1567,0.1567,0.00446414299767481,0.00555,0.00917511252025399,0.1063,TRUE,FALSE
"NM_001172096","Cacul1","Cacul1","Midbrain","15.5","15.5",1,"lower",0.21435,0.21435,0.00449756585605942,0.0758,0.00592421709537635,0.1239,TRUE,TRUE
"NM_133348","Acot7","Acot7","Midbrain","15.5","15.5",1,"lower",0.5768,0.5768,0.00451859352794715,0.0770000000000003,1.10421245101466e-11,0.5526,TRUE,TRUE
"NM_144901","Csde1","Csde1","Midbrain","14.5","15.5",2,"lower",0.1133,0.108825,0.00452825538095764,0.0682999999999999,0.00137868867464922,0.0821,TRUE,TRUE
"NM_001289611","Tasp1","Tasp1","Midbrain","15.5","15.5",1,"higher",0.16585,0.16585,0.00460230116002374,0.01065,0.0171797717179959,0.1565,TRUE,FALSE
"NM_001163355","Rhot1","Rhot1","Midbrain","15.5","15.5",1,"higher",0.2177,0.2177,0.00463961561511485,0.0669,0.00955669528982813,0.1824,TRUE,TRUE
"NM_009280","Ss18","Ss18","Midbrain","15.5","15.5",1,"lower",0.165825,0.165825,0.00464951602183892,0.0591,0.00956913924722113,0.1158,TRUE,FALSE
"NM_001038619","Dnm3","Dnm3","Midbrain","15.5","15.5",1,"lower",0.23635,0.23635,0.00468915010657964,0.09485,0.00383340048593286,0.1723,TRUE,TRUE
"NM_001083618","Ttll9","Ttll9","Midbrain","15.5","15.5",1,"higher",0.56795,0.56795,0.00477282705212492,0.0529,0.00383340048593286,0.5381,TRUE,TRUE
"NM_029064","Ttll9","Ttll9","Midbrain","15.5","15.5",1,"lower",0.56795,0.56795,0.00477282705212492,0.0528999999999999,0.00383340048593286,0.5381,TRUE,TRUE
