"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"Fam208a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Glmn",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gtse1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Hfm1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Hus1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Josd2",TRUE,FALSE,FALSE,"Forebrain only"
"Kcnn4",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Lgals8",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mrpl1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nhsl1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pdik1l",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Phldb2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pkp4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pnpla6",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Polg2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Rai14",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rbmxl1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Rfx2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Samhd1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Sapcd1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Sema4d",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Spred1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tjp3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tpbg",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tpm2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tpx2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfand2a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfp414",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfp661",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfp691",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Atxn7l1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cntln",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cpeb4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ctc1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gm14440",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Gnas",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gps1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Hdac5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Lox",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mme",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Mocs1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Nat2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nxt2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Otx2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Phf21b",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ppp3cc",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Prrx1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Rfxank",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"S100a9",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Scube1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Sec24a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Senp3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Slc30a4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Stx5a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Tiam1",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Trmt1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Troap",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Uckl1os",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Usp45",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Zeb2os",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Zfp169",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Zfp764",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"0610010B08Rik",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Ascc1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"B3gnt9",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Bcap29",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Brsk1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Brsk2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"C1qtnf6",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cbfa2t2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Cbwd1",TRUE,FALSE,TRUE,"Forebrain + Midbrain"
"Ccne2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cep55",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Cmc4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"D17Wsu92e",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Depdc1a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dlg5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Dnajc28",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
